Year,PropertyType,ZipCode,TotalYearlyEnergyUsage
2015,Other,02205,68740496.6
2015,Other,02210,9168528.4
2015,Other,02215,475486421.0
2015,Other - Education,02113,
2015,Other - Education,02116,6272202.7
2015,Other - Education,02120,6486787.8
2015,Other - Education,02135,2687973.5
2015,Other - Education,02446,995741.6
2015,Other - Entertainment/Public Assembly,02110,24466229.8
2015,Other - Entertainment/Public Assembly,02163,17668389.8
2015,Other - Lodging/Residential,02111,6576871.6
2015,Other - Lodging/Residential,02114,2539546.3
2015,Other - Lodging/Residential,02115,3728475.2
2015,Other - Lodging/Residential,02116,
2015,Other - Lodging/Residential,02118,7216246557.2
2015,Other - Lodging/Residential,02119,23640551.099999998
2015,Other - Lodging/Residential,02130,5769458.3
2015,Other - Lodging/Residential,02131,9711094.3
2015,Other - Lodging/Residential,02132,9843099.7
2015,Other - Lodging/Residential,02134,6297304.4
2015,Other - Lodging/Residential,02135,3811562.7
2015,Other - Lodging/Residential,02210,7675113.1
2015,Other - Lodging/Residential,02215,3874951.4
2015,Other - Mall,02109,
2015,Other - Public Services,02118,1846127.7
2015,Other - Public Services,02128,744069.9
2015,Other - Public Services,02210,160828.0
2015,Other - Recreation,02109,345596.0
2015,Other - Recreation,02111,169800.0
2015,Other - Recreation,02113,1753825.2
2015,Other - Recreation,02119,11474123.0
2015,Other - Recreation,02120,5490954.1
2015,Other - Recreation,02124,938124.0
2015,Other - Recreation,02126,929541.6
2015,Other - Recreation,02127,9725486.2
2015,Other - Recreation,02128,2162288.7
2015,Other - Recreation,02130,5197836.5
2015,Other - Recreation,02131,6839714.5
2015,Other - Recreation,02132,
2015,Other - Recreation,02134,13189860.6
2015,Other - Recreation,02136,854364.8
2015,Other - Specialty Hospital,02114,
2015,Other - Specialty Hospital,02115,1072494507.0
2015,Other - Specialty Hospital,02130,29224010.3
2015,Other - Specialty Hospital,02135,14434487.3
2015,Other - Stadium,02215,9066303.6000000015
2015,Other - Utility,02118,69727.6
2015,Other - Utility,02163,9305008.0
2015,Outpatient Rehabilitation/Physical Therapy,02215,102846844.4
2015,Parking,02108,7623949.1
2015,Parking,02109,3755405.7
2015,Parking,02114,25964237.1
2015,Parking,02115,44110593.199999996
2015,Parking,02116,30684885.7
2015,Parking,02118,287024.2
2015,Parking,02134,1463300.3
2015,Parking,02135,7568191.0
2015,Parking,02210,11797568.5
2015,Performing Arts,02111,14652460.6
2015,Performing Arts,02116,
2015,Performing Arts,02163,1860232.4
2015,Performing Arts,02215,3960463.8
2015,Police Station,02114,5761379.2
2015,Police Station,02118,6155205.1
2015,Police Station,02119,7195780.5
2015,Police Station,02120,40206382.6
2015,Police Station,02122,2416212.4
2015,Police Station,02124,2797368.2
2015,Police Station,02125,1769057.7
2015,Police Station,02126,258150.2
2015,Police Station,02127,422972.0
2015,Police Station,02128,1760861.6
2015,Police Station,02129,1922297.9
2015,Police Station,02130,2297417.3
2015,Police Station,02132,3335463.9
2015,Police Station,02136,4963845.6000000006
2015,Police Station,02169,15275.5
2015,Police Station,02171,232336.7
2015,Police Station,02201,2356412.7
2015,Race Track,02134,3313628.3
2015,Refrigerated Warehouse,02118,9473318.8
2015,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",02116,
2015,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",02119,2362811.7
2015,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",02125,2155882.0
2015,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",02126,488230.6
2015,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",02130,864104.3
2015,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",02131,1249634.8
2015,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",02132,72603.9
2015,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",02134,571467.2
2015,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",02136,674868.1
2015,Residence Hall/Dormitory,02114,345840.3
2015,Residence Hall/Dormitory,02115,36241784.7
2015,Residence Hall/Dormitory,02116,12063356475.0
2015,Residence Hall/Dormitory,02126,
2015,Residence Hall/Dormitory,02128,6466114.5
2015,Residence Hall/Dormitory,02163,34383301.8
2015,Residence Hall/Dormitory,02171,
2015,Residence Hall/Dormitory,02215,281158243.2
2015,Restaurant,02110,13982858.2
2015,Retail Store,02108,26636599.2
2015,Retail Store,02111,
2015,Retail Store,02115,1253217.3
2015,Retail Store,02116,18011682.2
2015,Retail Store,02122,3607053.2
2015,Retail Store,02125,21777601.8
2015,Retail Store,02132,8590394.5
2015,Retail Store,02215,
2015,Self-Storage Facility,02118,855953.4
2015,Self-Storage Facility,02135,3825776.9
2015,Senior Care Community,02114,5884284.3
2015,Senior Care Community,02115,
2015,Senior Care Community,02120,5524.0
2015,Senior Care Community,02124,6447029.6
2015,Senior Care Community,02127,27710322.5
2015,Senior Care Community,02130,38432528.6
2015,Senior Care Community,02132,9393994.7
2015,Senior Care Community,02135,
2015,Single Family Home,02163,961740.6
2015,Social/Meeting Hall,02128,1081900.0
2015,Social/Meeting Hall,02131,2204629.9
2015,Social/Meeting Hall,02132,1498523.3
